code,,cygnus
82810.97803,,-125068.26
126131.1175,,-76700.52
138517.0684,,-20158.3
139637.4273,,38890.04
135665.8799,,94468.57
127998.9187,,140978.06
116989.9245,,173785.73
86461.37553,,189643.75
31705.63659,,186927.46
-28521.45177,,165732.25
-77330.95614,,127872.42
-93224.07463,,76791.13
-98406.05836,,17347.82
-104897.2285,,-44566.03
-111413.5666,,-102601.2
-117490.693,,-150666.81
-116579.5912,,-183672.35
-82422.90705,,-198149.94
-28508.17484,,-192636.9
26922.7209,,-167769.95
78823.91856,,-126122.17
116375.7433,,-71864.84
124023.6162,,-10338.51
118229.597,,52418.62
111031.7541,,110179.81
103202.2063,,157088.15
94819.22922,,188253.21
77228.22752,,200325.6
32959.56945,,191946.57
-18808.50122,,163964.02
-68255.61145,,119349.18
-104074.1478,,62821.92
-118469.7888,,265.25
-127235.3384,,-61952.66
-134131.7456,,-117638.5
-136799.3369,,-161347.28
-125688.3741,,-188847.54
-90092.55053,,-197481.69
-44249.25676,,-186419.81
6492.242991,,-156780.86
56624.613,,-111577.01
93642.54399,,-55444.3
99567.99144,,5839.6
96602.00436,,65996.75
95635.87256,,118952.75
96212.05583,,159492.05
98699.31325,,183774.36
92102.91113,,189663.33
53811.28833,,176861.32
1935.705773,,146871.24
-50451.73174,,102812.24
-97967.69595,,49110.26
-130777.911,,-8920.71
-137968.7802,,-65585.33
-135070.6977,,-115363.45
-128492.3558,,-153460.16
-119629.0844,,-176284.05
-103888.0472,,-181794.13
-62628.47038,,-169676.75
-8026.46673,,-141339.57
47696.4322,,-99733.76
85487.51002,,-49032.38
96178.03647,,5797.6
103665.4238,,59485.43
111163.4059,,106960.97
118197.5446,,143824.05
123378.6343,,166734.33
112182.9137,,173689.28
65816.6785,,164174.11
6387.189792,,139183.11
-54551.57811,,101120.31
-106933.2489,,53588.9
-124303.3706,,1077.74
-120113.3126,,-51442.84
-113645.7012,,-98990.85
-106327.6954,,-137063.21
-98448.8396,,-162085.93
