LGL,RGL,LTA,RTA,LBF,RBF,LRF,RRF,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
-4383.81,-1826.12,-750.47,1309.72,-627.45,-1822.53,-51.41,-675.59,,,,,
-4376.62,-1822.85,-749.52,1307.38,-631.62,-1823.09,-50.74,-675.21,,,,,
-4385.75,-1809.16,-748.78,1303.44,-634.67,-1823.88,-50.03,-674.55,,,,,
-4409.92,-1790.73,-748.6,1297.73,-635.64,-1824.92,-49.5,-673.69,,,,,
-4440.14,-1775.5,-748.93,1290.13,-634.49,-1826.09,-49.31,-672.73,,,,,
-4463.55,-1770.25,-749.32,1281.25,-632.0,-1827.17,-49.47,-671.74,,,,,
-4469.18,-1777.65,-749.23,1272.82,-629.29,-1827.96,-49.83,-670.79,,,,,
-4453.05,-1795.15,-748.44,1267.52,-627.36,-1828.37,-50.16,-669.96,,,,,
-4420.03,-1816.19,-747.3,1267.97,-626.74,-1828.45,-50.25,-669.31,,,,,
-4381.79,-1833.12,-746.59,1275.42,-627.5,-1828.37,-49.99,-668.88,,,,,
-4351.6,-1840.52,-747.1,1288.79,-629.33,-1828.35,-49.43,-668.66,,,,,
-4338.64,-1837.28,-749.19,1304.7,-631.84,-1828.5,-48.76,-668.6,,,,,
-4344.42,-1826.72,-752.45,1318.55,-634.66,-1828.77,-48.17,-668.61,,,,,
-4362.86,-1814.67,-755.78,1326.47,-637.46,-1829.02,-47.79,-668.58,,,,,
-4383.93,-1806.58,-757.92,1326.86,-639.94,-1829.05,-47.6,-668.42,,,,,
-4398.8,-1805.18,-758.02,1321.13,-641.78,-1828.79,-47.48,-668.06,,,,,
-4403.92,-1809.54,-756.05,1312.9,-642.75,-1828.29,-47.28,-667.51,,,,,
-4402.0,-1816.04,-752.87,1306.27,-642.83,-1827.7,-46.88,-666.8,,,,,
-4399.7,-1820.6,-749.81,1303.86,-642.25,-1827.23,-46.32,-666.05,,,,,
-4403.26,-1820.81,-748.05,1305.75,-641.51,-1826.96,-45.71,-665.42,,,,,
-4414.67,-1817.09,-748.12,1309.71,-641.11,-1826.86,-45.19,-665.08,,,,,
-4430.31,-1812.12,-749.73,1312.6,-641.37,-1826.77,-44.8,-665.13,,,,,
-4442.92,-1809.15,-752.06,1312.23,-642.23,-1826.51,-44.45,-665.56,,,,,
-4445.63,-1809.95,-754.19,1308.47,-643.27,-1826.01,-43.92,-666.2,,,,,
-4435.89,-1813.72,-755.55,1303.31,-643.96,-1825.36,-42.97,-666.74,,,,,
-4417.09,-1817.49,-756.1,1299.63,-643.92,-1824.78,-41.5,-666.83,,,,,
-4396.99,-1817.79,-756.2,1299.57,-643.08,-1824.48,-39.59,-666.23,,,,,
-4383.79,-1812.77,-756.26,1303.42,-641.75,-1824.58,-37.55,-664.92,,,,,
-4382.05,-1803.58,-756.47,1309.46,-640.37,-1825.01,-35.77,-663.17,,,,,
-4390.65,-1794.13,-756.71,1315.04,-639.24,-1825.53,-34.6,-661.45,,,,,
-4403.82,-1789.29,-756.69,1318.04,-638.42,-1825.89,-34.19,-660.27,,,,,
-4414.64,-1792.42,-756.22,1317.98,-637.65,-1825.91,-34.43,-659.98,,,,,
-4418.97,-1803.34,-755.4,1316.07,-636.63,-1825.6,-35.02,-660.59,,,,,
-4417.5,-1818.01,-754.58,1314.31,-635.21,-1825.14,-35.62,-661.75,,,,,
-4414.86,-1830.11,-754.15,1314.12,-633.54,-1824.8,-35.96,-662.9,,,,,
-4416.27,-1833.92,-754.25,1315.33,-632.05,-1824.78,-35.96,-663.49,,,,,
-4423.86,-1827.16,-754.65,1316.27,-631.18,-1825.16,-35.71,-663.24,,,,,
-4434.86,-1812.4,-754.87,1314.78,-631.19,-1825.83,-35.41,-662.24,,,,,
-4442.84,-1796.22,-754.46,1309.65,-631.96,-1826.55,-35.24,-660.9,,,,,
-4441.59,-1786.47,-753.36,1301.67,-633.08,-1827.13,-35.27,-659.75,,,,,
-4429.21,-1788.71,-751.99,1293.48,-634.05,-1827.42,-35.48,-659.19,,,,,
-4410.15,-1803.51,-751.11,1288.42,-634.55,-1827.44,-35.78,-659.35,,,,,
-4393.77,-1825.83,-751.41,1288.79,-634.57,-1827.3,-36.04,-660.01,,,,,
-4389.76,-1846.83,-753.11,1294.48,-634.33,-1827.15,-36.23,-660.79,,,,,
-4403.0,-1857.42,-755.71,1302.91,-634.16,-1827.09,-36.36,-661.28,,,,,
-4430.35,-1852.08,-758.19,1310.09,-634.26,-1827.16,-36.47,-661.27,,,,,
-4461.51,-1831.24,-759.42,1312.57,-634.62,-1827.32,-36.59,-660.83,,,,,
-4483.4,-1801.39,-758.7,1309.09,-635.09,-1827.51,-36.68,-660.17,,,,,
-4486.23,-1772.83,-756.14,1301.17,-635.52,-1827.67,-36.67,-659.6,,,,,
-4468.01,-1755.84,-752.66,1292.35,-635.91,-1827.77,-36.43,-659.32,,,,,
-4435.36,-1756.95,-749.57,1286.34,-636.44,-1827.79,-35.91,-659.36,,,,,
-4400.24,-1776.59,-748.05,1285.24,-637.32,-1827.73,-35.12,-659.61,,,,,
-4374.46,-1808.92,-748.66,1288.56,-638.63,-1827.56,-34.16,-659.93,,,,,
-4364.56,-1843.89,-751.1,1293.65,-640.2,-1827.28,-33.2,-660.18,,,,,
-4369.68,-1870.61,-754.41,1297.2,-641.65,-1826.88,-32.44,-660.32,,,,,
-4383.15,-1880.95,-757.41,1297.04,-642.57,-1826.4,-32.03,-660.35,,,,,
-4396.47,-1871.96,-759.2,1293.31,-642.73,-1825.94,-32.06,-660.25,,,,,
-4403.57,-1846.55,-759.49,1288.32,-642.23,-1825.55,-32.51,-659.99,,,,,
-4403.09,-1812.17,-758.63,1285.33,-641.44,-1825.28,-33.26,-659.5,,,,,
-4397.79,-1778.15,-757.36,1286.76,-640.82,-1825.13,-34.09,-658.77,,,,,
-4392.01,-1752.59,-756.41,1292.97,-640.7,-1825.04,-34.76,-657.85,,,,,
-4388.91,-1739.98,-756.2,1302.12,-641.1,-1824.94,-35.06,-656.94,,,,,
-4389.06,-1740.31,-756.65,1311.15,-641.75,-1824.77,-34.86,-656.29,,,,,
-4391.02,-1749.78,-757.35,1317.4,-642.27,-1824.56,-34.18,-656.1,,,,,
-4393.21,-1762.91,-757.73,1319.86,-642.36,-1824.37,-33.19,-656.46,,,,,
-4395.37,-1774.84,-757.42,1319.51,-641.97,-1824.29,-32.15,-657.27,,,,,
-4398.7,-1783.04,-756.36,1318.46,-641.3,-1824.41,-31.37,-658.3,,,,,
-4404.5,-1787.75,-754.85,1318.57,-640.62,-1824.73,-31.07,-659.28,,,,,
-4412.3,-1791.02,-753.35,1320.3,-640.18,-1825.23,-31.32,-659.96,,,,,
-4419.05,-1795.02,-752.29,1322.45,-640.03,-1825.81,-32.01,-660.23,,,,,
-4420.2,-1800.55,-751.84,1322.95,-640.09,-1826.34,-32.92,-660.05,,,,,
-4412.23,-1806.49,-751.91,1320.28,-640.21,-1826.76,-33.76,-659.41,,,,,
-4395.35,-1810.56,-752.14,1314.63,-640.33,-1827.03,-34.33,-658.33,,,,,
-4374.37,-1810.73,-752.17,1308.06,-640.46,-1827.14,-34.52,-656.81,,,,,
-4357.25,-1806.62,-751.79,1303.53,-640.72,-1827.14,-34.41,-654.92,,,,,
-4351.47,-1800.07,-751.01,1303.29,-641.17,-1827.07,-34.14,-652.83,,,,,
-4360.4,-1794.32,-750.1,1307.47,-641.79,-1826.97,-33.88,-650.83,,,,,
-4381.36,-1792.55,-749.36,1313.83,-642.46,-1826.88,-33.78,-649.25,,,,,
-4406.76,-1796.25,-749.01,1318.76,-643.03,-1826.82,-33.89,-648.36,,,,,
-4427.6,-1804.59,-748.98,1319.2,-643.38,-1826.83,-34.2,-648.23,,,,,
-4437.6,-1814.9,-748.96,1314.4,-643.51,-1826.91,-34.64,-648.66,,,,,
-4435.85,-1824.14,-748.54,1306.46,-643.5,-1827.06,-35.17,-649.25,,,,,
-4426.49,-1830.26,-747.36,1299.47,-643.4,-1827.26,-35.71,-649.57,,,,,
-4416.04,-1832.87,-745.36,1297.4,-643.24,-1827.44,-36.21,-649.33,,,,,
-4409.75,-1832.74,-742.82,1301.92,-642.94,-1827.55,-36.61,-648.51,,,,,
-4409.23,-1830.59,-740.3,1311.38,-642.47,-1827.53,-36.8,-647.35,,,,,
-4412.42,-1826.09,-738.38,1321.35,-641.87,-1827.36,-36.71,-646.22,,,,,
-4415.77,-1817.81,-737.47,1326.74,-641.29,-1827.09,-36.3,-645.41,,,,,
-4416.88,-1804.4,-737.65,1324.26,-640.9,-1826.82,-35.61,-644.96,,,,,
